Aug 13 14:35:23.388 HYPERVISOR: Release 0.2.17-x86/Windows (tag 2017072410)
Aug 13 14:35:23.403 HYPERVISOR: Started on IP = 127.0.0.1, TCP port = 57291.
Aug 13 14:35:23.630 HYPERVISOR: exec_cmd: hypervisor version 
Aug 13 14:35:23.630 HYPERVISOR: exec_cmd: hypervisor working_dir C:\Users\freet\Desktop\poftfolio\project-files\dynamips 
Aug 13 14:36:25.933 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 14:36:25.933 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 14:36:25.933 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 14:36:25.972 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 14:36:25.996 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 14:36:34.175 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 14:36:34.206 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 14:36:34.206 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 14:36:34.238 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 14:36:34.272 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 14:36:34.272 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 14:36:34.307 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 14:37:22.329 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 14:37:22.331 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 14:37:22.333 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 14:37:22.335 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 14:37:22.337 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 14:37:22.395 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 14:37:22.415 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 14:37:23.073 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 14:37:23.099 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 14:37:23.126 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 14:37:23.153 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 14:37:23.182 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 14:37:23.206 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 14:37:23.237 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 14:37:23.427 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 14:37:23.480 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 14:37:23.538 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 14:37:23.571 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 14:37:23.655 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 14:37:23.682 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 14:37:23.713 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 14:50:36.693 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 14:50:36.712 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 14:50:36.734 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 14:50:36.765 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 14:50:36.813 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 14:50:36.817 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 14:50:36.853 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 14:50:37.429 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 14:50:37.445 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 14:50:37.459 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 14:50:37.476 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 14:50:37.507 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 14:50:37.507 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 14:50:37.548 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 14:50:37.713 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 14:50:37.745 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 14:50:37.777 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 14:50:37.829 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 14:50:37.866 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 14:50:37.888 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 14:50:37.957 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 14:51:02.479 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 14:51:02.479 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 14:51:02.479 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 14:51:02.488 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 14:51:02.488 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 14:51:02.488 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 14:51:02.488 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 14:58:29.544 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 14:58:29.575 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 14:58:29.607 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 14:58:29.618 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 14:58:29.645 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 14:58:29.676 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 14:58:29.701 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 15:09:49.138 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 15:09:49.138 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 15:09:49.138 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 15:09:49.169 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 15:09:49.206 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 15:09:49.206 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 15:09:49.267 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 15:09:51.278 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 15:09:51.278 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 15:09:51.322 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 15:09:51.353 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 15:09:51.357 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 15:09:51.388 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 15:09:51.451 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 15:09:52.008 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 15:09:52.008 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 15:09:52.044 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 15:09:52.072 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 15:09:52.072 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 15:09:52.100 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 15:09:52.120 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 15:09:52.405 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 15:09:52.445 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 15:09:52.500 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 15:09:52.529 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 15:09:52.590 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 15:09:52.619 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 15:09:52.647 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 15:30:02.932 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 15:30:02.932 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 15:30:02.932 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 15:30:02.932 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 15:30:02.932 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 15:30:02.932 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 15:30:02.932 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 15:30:04.666 HYPERVISOR: exec_cmd: ethsw remove_nio Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 
Aug 13 15:30:04.682 HYPERVISOR: exec_cmd: nio delete udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 
Aug 13 15:30:04.775 HYPERVISOR: exec_cmd: ethsw remove_nio Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 
Aug 13 15:30:04.777 HYPERVISOR: exec_cmd: nio delete udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 
